"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3963620981387","14.9874493927126","17.1338439095551","17.5109023817511","15.5483138780804","13.1759545308158","13.0540690696972","13.2416208673862","14.8922098082515","15.5965082540353","16.2974611255338","17.6558632372378","17.4795502921148","16.1823488793703","13.0430359920285","11.5460620013165","12.3664483303712","10.0760634560669","10.7496646425755","10.799498200524","12.4688254381031","12.7138128237982","12.3948278061063","11.358156434717","11.6288104514912","12.6114406876517","11.0075338030159","9.73591736419981","","","",
"Africa Eastern and Southern","AFE","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","29.6442574049961","31.3714669741727","30.2680590975541","27.2946016325832","29.1073064586319","30.6586051041949","30.7509987433153","30.531818343871","30.4682924093169","29.1977094970974","31.7693568703011","30.4778891681187","30.5987969218079","30.0728759351559","29.2926993413873","28.4814457098779","28.1210904719608","27.5067630138739","27.9171019877841","28.054315745205","27.3349295547368","26.5921747721623","26.8893149488841","27.8152096872531","27.8943653138769","29.2235447877185","30.4645998089145","26.6977694815849","27.3212163743139","28.6052577416269","28.4590121987767","27.8033727389777","27.1637700860693","24.8785505777961","24.748444475518","25.3937369507361","26.172562623672","26.0330206191942","25.0956185656564","25.9427857270268","26.3210526613761","26.4166896198758","25.9484293974406","",
"Afghanistan","AFG","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.8101270064854","22.7108641828326","26.2267897500666","26.8120992326398","28.2107680719994","26.8822416082148","26.9156280026285","21.8971222069406","21.1514206977128","22.7402524820273","21.1578071539751","20.4446053132561","21.2296632181805","22.1240424906926","10.4668076938201","10.0518739969063","13.3872469597976","14.0581123697768","12.9525996015547","14.2736570191788","16.0503677223963","13.4498227120978","","",
"Africa Western and Central","AFW","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","37.9990441998949","33.7347694415544","31.3440007055714","27.4746912737498","28.7258949392083","30.7032813898419","30.0349537552172","28.8684573992089","30.5024101978899","31.9939509931065","32.4071037513705","31.8652421795098","30.5371200261195","31.2665773991099","35.5671285288369","36.2237022366834","34.8131982899953","29.1936164859737","27.7248532607225","31.6429492467533","27.6777124143976","25.027285981308","27.0744572920452","28.8135111338226","29.4197914902828","28.1434367027884","27.0768748584186","28.1358811661849","24.6156342319428","27.3403594105445","30.3228391802371","29.7369723233846","28.7586082396961","27.3416005895994","23.152227373643","21.5173149706202","24.42401180708","26.6968365569618","23.3347838450209","21.2395036083466","21.9220901239411","23.0816586357113","23.1898778620108","24.1765434821094","",
"Angola","AGO","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.9196521931075","48.9228549611473","50.2978770697738","56.1242984191149","54.2214232962716","57.905278239704","56.2078263483829","40.9723218323879","48.5501387093455","52.1706630052286","53.3611036467722","50.3750405397121","43.9966362099567","36.7338841349078","37.3943513261608","37.0989345106935","41.1891594014386","42.2251045134162","36.7098511285088","38.1721950958541","34.9333591780179","35.1292267229987","34.56731745622","",
"Albania","ALB","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.7520120174809","19.2241466662591","20.209552986729","16.9172110795014","18.5232144781417","21.712185305831","24.386649861103","26.2383265737354","27.084687755804","27.7299752177294","28.1372131604488","28.4284255205783","28.5772545670045","28.5616497223775","27.5678722962167","27.4749142839601","26.9409865024688","25.4077242038709","25.506803612245","23.8286690584956","24.4814091473313","23.8670178864359","22.9533327106507","23.7535886253159","22.9655210859374","23.4687164183412","22.4341412350759","23.0250522159549","23.160711973189","22.4011031082403","",
"Andorra","AND","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.8437550367806","14.9240176087095","15.0672890885022","15.4949366544165","15.7803540103879","16.0357828783728","16.1672951911525","15.4735314793076","15.4327671138582","14.7664887100921","13.1256460606154","11.908853107908","11.0715796683925","10.6182471491429","10.1535313011382","9.98126871637019","10.1407794073814","10.3955176672591","11.0763337210625","11.6998176283166","12.6601582717327","12.3626363853047","11.1453411041301","12.4282261796617","12.7530228782248","",
"Arab World","ARB","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","55.8053998741856","57.4126712423572","55.6830086286337","51.9489554395608","57.7890934460202","63.3525220921853","61.3267937452964","52.6033327079081","45.1173529243798","43.0329199439558","39.8973229009935","34.7396028042259","35.917336175522","36.3789192552567","38.3341909086727","57.7400320055059","40.1681013883758","43.4223371536448","40.5607046711967","40.3374698187115","42.6395302202199","43.9126202517732","44.6549376489018","39.8717383356757","43.7681002177982","50.0059178235864","46.7505686437585","46.7965476859167","47.4038958095678","49.6159049316719","53.41734229403","54.6310822829143","53.4223220003271","56.1487627202994","47.7183147067532","50.0622317000738","53.4253059488925","54.1899500446277","52.0080037186228","49.4959119090372","40.4265373349113","38.155994879331","40.7677492984881","44.5307863776535","42.4378832257503","36.2480477287924","42.7339657537053","48.6378194883718","44.6115100409235","42.7242298538505","",
"United Arab Emirates","ARE","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","73.995507005299","71.8147226501297","67.9817061865227","68.058799882661","71.3555523848691","72.6636063301946","68.3633070683534","63.1520519771899","61.4041786789367","62.8107143089844","61.2521468441391","52.1543733498118","54.6811011537108","53.0142376546918","55.0769292067955","58.9023505708529","46.7783014879946","55.2980232231106","51.4799216454456","46.2603750878466","45.5451739211502","46.3670023696682","45.4284115017034","40.0235324596818","42.0206625694073","48.5170116316395","49.6763412859899","47.5457475824448","49.1210129154604","51.6783480847693","55.6434763024807","57.903111718071","54.840228590251","58.0179784435584","52.044956000368","50.2592548678862","55.7510208781767","55.356407543947","52.9894122214127","50.7402069875437","42.1588028480264","39.8749229592768","41.4122717128473","45.7439845434706","43.4669683746299","40.3215883178557","45.3811872508727","49.3332992568668","45.4007387994769","44.3292859984628","",
"Argentina","ARG","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","48.4144764220088","49.605814661101","47.3834143823114","47.0360652886282","47.3861283042889","42.278789634459","45.9547284532329","45.581648950747","43.3522399337902","43.5928026239928","50.141323678472","50.8936968299416","47.8061321932459","46.0976480128857","44.0281237970279","41.2196656668996","40.3382267072576","41.1028486443199","41.5563065120102","39.70818793304","39.2761545711593","37.3804348914774","37.8286752699048","38.4866110820983","42.3478130695861","36.0218813478135","32.7225282556322","30.6839549022114","27.338739645861","26.7545586932878","26.3012103355498","26.5925606398683","27.1791508883114","26.7121357626278","26.1936304991129","25.9908360111364","25.2434339827333","30.5577370913046","32.6450990996503","28.816922006834","28.6263140439084","29.2032796652469","27.4152361334783","26.2724599395946","25.2842047993735","25.2587762576722","25.2126976058843","24.4290570649122","24.0058814423072","24.2773944936602","23.153056135905","22.0541072112108","21.782123219335","23.7195923321304","23.1578477391434","22.4088763711802","23.4994644263761","24.1118636272911","25.1722105252735","23.9965975604249","",
